light, CO2
78, 118
78, 118
78, 118
78, 119
78, 118
78, 118
78, 119
78, 119
78, 119
78, 119
78, 119
78, 119
78, 119
78, 119
78, 119
78, 119
79, 120
80, 120
80, 119
80, 119
80, 120
80, 120
79, 120
78, 120
78, 120
78, 120
78, 120
79, 120
80, 120
81, 120
81, 120
81, 120
81, 120
80, 120
79, 120
79, 120
79, 121
79, 120
78, 121
78, 121
78, 121
78, 121
78, 121
78, 121
78, 121
78, 121
78, 121
78, 121
78, 121
79, 121
80, 121
80, 121
80, 121
79, 121
78, 121
78, 121
78, 121
78, 121
78, 122
79, 122
79, 122
79, 121
79, 122
79, 122
79, 122
79, 122
79, 122
79, 122
78, 122
78, 122
78, 122
78, 122
78, 122
78, 122
78, 122
78, 122
79, 122
80, 122
81, 122
81, 122
81, 122
80, 123
79, 123
78, 122
78, 123
78, 122
79, 123
80, 123
80, 123
80, 123
80, 123
80, 123
79, 123
78, 123
78, 123
78, 123
78, 123
78, 123
78, 123
78, 123
